Date/Time,Word Count,ar,bg,de,en,es,fa,fr,hi,hu,it,ja,ko,no,pl,pt-BR,ru,th,tr,uk,vi,zh-Hans,zh-Hant
2026.02.26-13.59.25,1155,0,0,624,1155,624,0,624,0,0,624,624,624,0,624,624,624,0,624,0,0,624,624
2026.02.26-15.18.27,1508,0,0,801,1508,801,0,801,801,0,801,801,801,0,801,801,801,0,801,0,0,801,801
2026.02.26-15.20.18,1508,0,0,925,1508,925,0,925,925,0,925,925,925,0,925,925,925,0,925,0,0,925,925
2026.02.26-15.56.45,1508,0,0,925,1508,925,0,925,0,0,925,925,925,0,925,925,925,0,925,0,0,925,925
2026.02.26-16.29.14,1508,0,557,911,1508,911,0,911,0,555,911,911,911,552,911,911,911,0,911,557,557,911,911
2026.04.24-20.03.38,1816,0,557,911,1816,911,0,911,0,555,911,911,911,552,911,911,911,0,911,557,557,911,911
2026.04.25-23.52.12,1778,0,601,954,1778,955,0,954,0,598,954,955,955,621,954,955,955,0,955,626,626,955,955
2026.05.29-18.23.54,1867,555,781,1131,1867,1132,555,1131,0,778,1131,1132,1132,801,1131,1132,1132,580,1132,806,806,1132,1132
2026.06.23-19.41.41,1841,542,542,630,1841,630,542,630,0,540,630,630,630,537,630,630,630,542,630,542,542,630,630
2026.06.23-20.20.56,1841,1348,1346,1302,1841,1303,1355,1304,0,1340,1305,1311,1311,1329,1306,1305,1311,1348,1307,1348,1353,1309,1311
2026.06.24-01.20.13,1859,1348,1346,1302,1859,1303,1355,1304,0,1340,1305,1311,1311,1329,1306,1305,1311,1348,1307,1348,1353,1309,1311
2026.06.26-10.06.04,1909,1366,1364,1320,1909,1321,1373,1322,0,1358,1323,1329,1329,1347,1324,1323,1329,1366,1325,1366,1371,1327,1329
2026.06.26-12.45.41,1909,1416,1414,1370,1909,1371,1423,1372,0,1408,1373,1379,1379,1397,1374,1373,1379,1416,1375,1416,1421,1377,1379
2026.07.01-00.23.23,1910,1828,1826,1752,1910,1773,1857,1763,0,1808,1774,1791,1791,1785,1774,1773,1791,1824,1784,1826,1831,1789,1780
2026.07.01-17.09.36,1911,1828,1826,1752,1911,1773,1857,1763,0,1808,1774,1791,1791,1785,1774,1773,1791,1824,1784,1826,1831,1789,1780
2026.07.04-04.27.49,2289,1824,1822,1748,2289,1769,1853,1759,0,1804,1770,1787,1787,1781,1770,1769,1787,1822,1780,1822,1827,1785,1776
2026.07.06-12.12.03,2294,2186,2184,2110,2294,2131,2215,2117,0,2165,2132,2149,2149,2143,2132,2131,2149,2181,2142,2184,2188,2147,2138
2026.07.07-05.19.22,2347,2186,2184,2110,2347,2131,2215,2117,0,2165,2132,2149,2149,2143,2132,2131,2149,2181,2142,2184,2188,2147,2138
2026.07.10-00.28.10,2389,2281,2279,2205,2389,2226,2310,2212,0,2260,2227,2244,2244,2238,2227,2226,2244,2276,2237,2279,2283,2242,2233
2026.07.14-05.30.34,2542,2281,2279,2205,2542,2226,2310,2212,0,2260,2227,2244,2244,2238,2227,2226,2244,2276,2237,2279,2283,2242,2233
2026.07.14-05.43.23,2542,2281,2279,2205,2542,2226,2310,2212,0,2260,2227,2244,2244,2238,2227,2226,2244,2276,2237,2279,2283,2242,2233
